title,type
Hybrid Transformer with Multi-level Fusion for Multimodal Knowledge Graph Completion,Long
Decoupled Side Information Fusion for Sequential Recommendation,Long
A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,Long
Hierarchical Multi-Task Graph Recurrent Network for Next POI Recommendation,Long
Curriculum Contrastive Context Denoising for Few-shot Conversational Dense Retrieval,Long
Fairness of Exposure in Light of Incomplete Exposure Estimation,Long
Learn from Unlabeled Videos for Near-duplicate Video Retrieval,Long
RankFlow: Joint Optimization of Multi-Stage Cascade Ranking Systems as Flows,Long
Personalized Fashion Compatibility Modeling via Metapath-guided Heterogeneous Graph Learning,Long
Interpolative Distillation for Unifying Biased and DebiasedRecommendation,Long
Locality-Sensitive State-Guided Experience Replay Optimization for Sparse-Reward in Online Recommendation,Long
Unified Dialog Model Pre-training for Task-Oriented Dialog Understanding and Generation,Long
Assessing Student's Dynamic Knowledge State by Exploring the Question Difficulty Effect,Long
Contrastive Learning with Hard Negative Entities for Entity Set Expansion,Long
HTKG: Deep Keyphrase Generation with Neural Hierarchical Topic Guidance,Long
Introducing Problem Schema with Hierarchical Exercise Graph for Knowledge Tracing,Long
Tag-assisted Multimodal Sentiment Analysis under Uncertain Missing Modalities,Long
Progressive Learning for Image Retrieval with Hybrid-Modality Queries,Long
Unify Local and Global Information for Top-N Recommendation,Long
Explainable Legal Case Matching via Inverse Optimal Transport-based Rationale Extraction,Long
You Need to Read Again: Multi-granularity Perception Network for Moment Retrieval in Videos,Long
Co-training Disentangled Domain Adaptation Network for Leveraging Popularity Bias in Recommenders,Long
User-Aware Multi-Interest Learning for Candidate Matching in Recommenders,Long
V2P: Vision-to-Prompt based Multi-Modal Product Summary Generation,Long
"Post Processing Recommender Systems with Knowledge Graphs for Recency, Popularity, and Diversity of Explanations",Long
Multi-Level Interaction Reranking with User Behavior History,Long
Mutual Disentanglement Learning for Joint Fine-Grained Sentiment Classification and Controllable Text Generation,Long
CenterCLIP: Token Clustering for Efficient Text-Video Retrieval,Long
User-controllable Recommendation Against Filter Bubbles,Long
DisenCDR: Learning Disentangled Representations for Cross-Domain Recommendation,Long
Thinking inside The Box: Learning Hypercube Representations for Group Recommendation,Long
Multimodal Entity Linking with Gated Hierarchical Fusion and Contrastive Training,Long
A Review-aware Graph Contrastive Learning Framework for Recommendation,Long
Are Graph Augmentations Necessary? Simple Graph Contrastive Learning for Recommendation,Long
On-Device Next-Item Recommendation with Self-Supervised Knowledge Distillation,Long
Unifying Cross-lingual Summarization and Machine Translation with Compression Rate,Long
Multi-Agent RL-based Information Selection Model for Sequential Recommendation,Long
Structure and Semantics Preserving Document Representations,Long
Knowledge Graph Contrastive Learning for Recommendation,Long
Enhancing CTR Prediction with Context-Aware Feature Representation Learning,Long
Counterfactual Learning To Rank for Utility-Maximizing Query Autocompletion,Long
Joint Multisided Exposure Fairness for Recommendation,Long
When Multi-Level Meets Multi-Interest: A Multi-Grained Neural Model for Sequential Recommendation,Long
Automatic Expert Selection for Multi-Scenario and Multi-Task Search,Long
Rethinking Reinforcement Learning for Recommendation: A Prompt Perspective,Long
DGQAN: Dual Graph Question-Answer Attention Networks for Answer Selection,Long
Interacting with Non-Cooperative User: A New Paradigm for Proactive Dialogue Policy,Long
Single-shot Embedding Dimension Search in Recommender System,Long
Learning to Infer User Implicit Preference in Conversational Recommendation,Long
Incorporating Explicit Knowledge in Pre-trained Language Models for Passage Re-ranking,Long
Doubly-Adaptive Reinforcement Learning for Cross-Domain Interactive Recommendation,Long
An Attribute-Driven Mirroring Graph Network for Session-based Recommendation,Long
IR Evaluation and Learning in the Presence of Forbidden Documents,Long
Target-aware Abstractive Related Work Generation with Contrastive Learning,Long
Geometric Disentangled Collaborative Filtering,Long
Exploring Modular Task Decomposition in Cross-domain Named Entity Recognition,Long
CorED: Incorporating Type-level and Instance-level Correlations for Fine-grained Event Detection,Long
